Date|Close|Open|High|Low|Volume|Change
2021-11-09|2,716.20|2,705.77|2,733.20|2,700.18|39.95M|0.29%
2021-11-10|2,692.16|2,702.98|2,717.01|2,686.62|38.13M|-0.89%
2021-11-11|2,695.75|2,675.85|2,696.25|2,668.49|52.13M|0.13%
2021-11-12|2,722.27|2,719.81|2,734.17|2,705.69|42.34M|0.98%
2021-11-15|2,752.20|2,743.84|2,762.02|2,736.81|47.05M|1.10%
2021-11-16|2,751.65|2,749.97|2,768.94|2,741.21|45.26M|-0.02%
2021-11-17|2,722.59|2,758.48|2,760.73|2,717.01|48.33M|-1.06%
2021-11-18|2,709.34|2,718.55|2,726.96|2,701.11|43.28M|-0.49%
2021-11-19|2,733.68|2,714.51|2,738.18|2,710.69|49.08M|0.90%
2021-11-22|2,798.08|2,752.26|2,804.64|2,750.59|69.41M|2.36%
2021-11-23|2,775.00|2,800.25|2,800.25|2,769.13|56.70M|-0.82%
2021-11-24|2,768.85|2,785.53|2,796.75|2,752.70|46.52M|-0.22%
2021-11-25|2,746.77|2,772.12|2,772.12|2,744.25|41.91M|-0.80%
2021-11-26|2,700.81|2,736.77|2,752.70|2,693.90|52.63M|-1.67%
2021-11-29|2,680.63|2,676.47|2,704.10|2,665.22|70.68M|-0.75%
2021-11-30|2,626.14|2,703.39|2,712.39|2,610.19|116.32M|-2.03%
2021-12-01|2,696.05|2,650.15|2,703.89|2,633.45|70.56M|2.66%
2021-12-02|2,738.20|2,674.28|2,738.20|2,674.28|65.38M|1.56%
2021-12-03|2,751.00|2,726.37|2,761.79|2,713.35|54.96M|0.47%
2021-12-06|2,752.45|2,736.30|2,762.52|2,719.34|49.78M|0.05%
2021-12-07|2,771.68|2,750.75|2,773.11|2,738.81|53.90M|0.70%
2021-12-08|2,782.05|2,797.98|2,815.32|2,775.61|60.91M|0.37%
2021-12-09|2,807.72|2,787.39|2,807.72|2,778.31|78.26M|0.92%
2021-12-10|2,785.54|2,785.27|2,791.25|2,773.37|39.76M|-0.79%
2021-12-13|2,778.76|2,795.63|2,823.89|2,775.82|48.56M|-0.24%
2021-12-14|2,765.08|2,757.93|2,775.68|2,751.23|47.40M|-0.49%
2021-12-15|2,768.66|2,754.17|2,768.66|2,746.39|34.65M|0.13%
2021-12-16|2,784.76|2,793.13|2,797.65|2,767.64|41.69M|0.58%
2021-12-17|2,788.98|2,760.92|2,790.38|2,760.30|59.55M|0.15%
2021-12-20|2,733.09|2,770.45|2,771.10|2,731.32|40.55M|-2.00%
2021-12-21|2,752.09|2,754.55|2,761.04|2,733.35|41.74M|0.70%
2021-12-22|2,767.58|2,772.72|2,780.86|2,759.68|44.77M|0.56%
2021-12-23|2,784.34|2,781.30|2,785.05|2,764.19|43.85M|0.61%
2021-12-24|2,801.46|2,795.58|2,815.19|2,795.58|42.32M|0.61%
2021-12-27|2,787.00|2,801.97|2,803.93|2,785.73|42.84M|-0.52%
2021-12-28|2,807.03|2,793.85|2,807.03|2,777.70|76.76M|0.72%
2021-12-29|2,772.23|2,790.05|2,792.23|2,765.27|72.48M|-1.24%
2021-12-30|2,755.64|2,777.35|2,787.48|2,754.25|48.91M|-0.60%
2022-01-03|2,764.07|2,777.21|2,795.08|2,756.32|41.06M|0.31%
2022-01-04|2,759.84|2,768.24|2,773.63|2,749.82|52.34M|-0.15%
2022-01-05|2,720.83|2,756.54|2,759.25|2,699.70|86.69M|-1.41%
2022-01-06|2,693.30|2,693.71|2,721.18|2,687.15|63.11M|-1.01%
2022-01-07|2,723.69|2,710.20|2,732.52|2,709.08|52.77M|1.13%
2022-01-10|2,697.05|2,714.33|2,715.44|2,676.87|63.44M|-0.98%
2022-01-11|2,715.25|2,705.38|2,719.41|2,694.19|64.87M|0.67%
2022-01-12|2,755.19|2,740.17|2,756.74|2,737.14|57.41M|1.47%
2022-01-13|2,740.95|2,763.03|2,763.03|2,737.36|58.90M|-0.52%
2022-01-14|2,699.85|2,715.40|2,724.99|2,690.65|54.96M|-1.50%
2022-01-17|2,676.42|2,695.68|2,698.07|2,659.47|60.20M|-0.87%
2022-01-18|2,660.86|2,685.59|2,691.27|2,652.66|45.84M|-0.58%
2022-01-19|2,638.64|2,636.55|2,663.20|2,627.54|56.86M|-0.84%
2022-01-20|2,653.36|2,633.88|2,654.04|2,624.98|50.79M|0.56%
2022-01-21|2,624.00|2,626.87|2,634.12|2,604.60|58.97M|-1.11%
2022-01-24|2,594.56|2,612.64|2,618.53|2,581.33|49.95M|-1.12%
2022-01-25|2,535.85|2,586.38|2,589.68|2,516.31|64.39M|-2.26%
2022-01-26|2,521.85|2,545.43|2,554.01|2,518.50|50.38M|-0.55%
2022-01-27|2,436.98|2,521.85|2,536.68|2,436.15|83.84M|-3.37%
2022-01-28|2,501.10|2,446.99|2,507.81|2,430.34|70.27M|2.63%
2022-02-03|2,521.99|2,545.24|2,558.34|2,521.99|63.40M|0.84%
2022-02-04|2,552.35|2,534.25|2,559.53|2,525.28|48.37M|1.20%
2022-02-07|2,524.14|2,545.73|2,545.73|2,500.19|57.52M|-1.11%
2022-02-08|2,526.32|2,543.77|2,552.07|2,509.46|52.57M|0.09%
2022-02-09|2,559.56|2,551.64|2,559.56|2,543.39|52.93M|1.32%
2022-02-10|2,586.36|2,585.64|2,592.94|2,567.00|67.89M|1.05%
2022-02-11|2,569.14|2,558.37|2,586.19|2,553.33|81.27M|-0.67%
2022-02-14|2,532.30|2,538.10|2,550.29|2,513.71|55.96M|-1.43%
2022-02-15|2,517.64|2,542.13|2,544.33|2,506.02|44.58M|-0.58%
2022-02-16|2,563.51|2,556.43|2,564.89|2,545.39|44.69M|1.82%
2022-02-17|2,579.34|2,568.58|2,601.42|2,552.94|60.30M|0.62%
2022-02-18|2,565.09|2,550.68|2,570.91|2,541.55|40.23M|-0.55%
2022-02-21|2,560.72|2,525.43|2,564.70|2,509.92|37.82M|-0.17%
2022-02-22|2,526.67|2,523.41|2,532.50|2,505.74|44.32M|-1.33%
2022-02-23|2,525.77|2,544.91|2,546.49|2,513.76|36.92M|-0.04%
2022-02-24|2,457.31|2,493.69|2,496.60|2,449.67|61.57M|-2.71%
