Date|Close|Open|High|Low|Volume|Change|Value
1997-01-06|626.87|637.98|637.98|625.01|17.65M|-2.57%|0
1997-01-07|611.05|622.45|627.61|609.12|24.07M|-2.52%|0
1997-01-08|621.41|608.53|623.39|600.56|34.22M|1.70%|1
1997-01-09|639.87|619.1|640.81|612.41|36.05M|2.97%|1
1997-01-10|648.69|637.99|653.59|636.81|36.47M|1.38%|1
1997-01-11|659.54|646.68|659.63|645.92|22.41M|1.67%|1
1997-01-13|659.54|659.81|664.95|655.74|28.73M|0.00%|1
1997-01-14|686.59|656.67|687.66|656.67|36.62M|4.10%|1
1997-01-15|699.76|690.18|699.76|686.02|42.01M|1.92%|1
1997-01-16|711.86|701.64|711.96|694.39|47.29M|1.73%|1
1997-01-17|701.18|713.07|720.41|695.77|48.24M|-1.50%|0
1997-01-18|694.23|698.08|699.98|692.04|25.30M|-0.99%|0
1997-01-20|718.46|697.56|720.69|697.56|42.99M|3.49%|1
1997-01-21|690.54|721.04|721.79|690.54|44.30M|-3.89%|0
1997-01-22|678.94|686.71|686.89|671.91|36.68M|-1.68%|0
1997-01-23|676.91|679.34|685.14|672.73|31.04M|-0.30%|0
1997-01-24|679.56|669.03|679.56|658.18|35.49M|0.39%|1
1997-01-25|685.11|680.22|688.81|677.46|22.40M|0.82%|1
1997-01-27|664.7|684.31|685.46|664.68|28.33M|-2.98%|0
1997-01-28|662.85|661.66|677.63|653.42|30.38M|-0.28%|0
1997-01-29|663.56|663.33|672.9|654.95|30.16M|0.11%|1
1997-01-30|676.52|663.65|679.04|662.27|28.82M|1.95%|1
1997-01-31|685.84|678.19|687.99|678.17|32.00M|1.38%|1
1997-02-01|683.13|686.37|688.39|681.4|21.51M|-0.40%|0
1997-02-03|687.25|682.26|696.21|681.01|27.34M|0.60%|1
1997-02-04|695.95|687.84|696.24|687.84|33.13M|1.27%|1
1997-02-05|698.6|698.18|708.2|697.95|38.56M|0.38%|1
1997-02-06|700.22|698.54|704.44|693.82|34.13M|0.23%|1
1997-02-10|709.79|701.43|709.8|701.43|29.31M|1.37%|1
1997-02-11|713.43|711.11|713.88|707.86|41.37M|0.51%|1
1997-02-12|712.5|714.82|715.87|708.72|35.26M|-0.13%|0
1997-02-13|716.71|713.64|726.13|713.64|49.79M|0.59%|1
1997-02-14|721|717.29|723.02|715|39.07M|0.60%|1
1997-02-15|722.32|722.43|729.64|722.32|27.11M|0.18%|1
1997-02-17|712.93|720.42|721.5|712.93|31.52M|-1.30%|0
1997-02-18|706.94|712.62|715.18|703.99|30.44M|-0.84%|0
1997-02-19|713.67|708.64|713.67|706.58|31.11M|0.95%|1
1997-02-20|711.13|713.5|716.18|707.83|35.04M|-0.36%|0
1997-02-21|686.72|710.87|711.75|686.71|30.80M|-3.43%|0
1997-02-22|681.24|683.43|683.43|672.72|19.14M|-0.80%|0
1997-02-24|676.59|681.48|686.94|676.11|24.09M|-0.68%|0
1997-02-25|682.81|676.73|682.81|670.41|25.34M|0.92%|1
1997-02-26|679.71|683.59|691.27|679.66|29.90M|-0.45%|0
1997-02-27|669.41|678.11|679.8|668.71|30.31M|-1.52%|0
1997-02-28|676.53|669.01|679.07|664.75|37.80M|1.06%|1
1997-03-03|679.64|677.18|684.44|677.18|26.96M|0.46%|1
1997-03-04|679.97|679.51|683.32|675.82|28.06M|0.05%|1
1997-03-05|674.9|680.48|684.55|673.63|38.82M|-0.75%|0
1997-03-06|678.11|675.25|685.95|675.25|41.27M|0.48%|1
1997-03-07|681.22|679.83|685.26|679.83|37.38M|0.46%|1
1997-03-08|675.07|681.97|684.92|675.07|23.84M|-0.90%|0
1997-03-10|667.35|673.91|674.29|667.29|29.44M|-1.14%|0
1997-03-11|655.95|665.83|665.83|654.92|29.83M|-1.71%|0
1997-03-12|663.9|655.76|663.9|655.07|29.99M|1.21%|1
1997-03-13|657.9|663.91|666.26|656.86|32.11M|-0.90%|0
1997-03-14|642.08|657.73|657.98|641.83|27.61M|-2.40%|0
1997-03-15|641.83|639.62|647.14|638.39|18.96M|-0.04%|0
1997-03-17|658.9|642.17|658.94|641.04|28.39M|2.66%|1
1997-03-18|657.97|659.73|663.7|653.25|30.52M|-0.14%|0
1997-03-19|646.29|656.9|656.9|643.04|32.98M|-1.78%|0
1997-03-20|642.86|642.73|646.73|630.37|34.07M|-0.53%|0
1997-03-21|627.63|640.52|640.52|626.39|34.22M|-2.37%|0
1997-03-22|623.13|625.13|634.02|622.84|26.90M|-0.72%|0
1997-03-24|617.26|622.14|622.39|607.87|36.20M|-0.94%|0
1997-03-25|638.9|616.11|638.9|614.99|42.95M|3.51%|1
1997-03-26|656.62|640.45|656.78|637.36|43.99M|2.77%|1
